"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7318","Verify Adding and Discarding Licenses on the Before we get started page @[112516] @provider @functional","single-provider","2026-02-26","passed","2026-02-26","Provider - English @regression","single-user-tests/provider/create-account-onboard-provider.spec.js","",""
"","2546","[Negative] Verify password mismatch on Password Page @[111170] @unauthenticated @functional","single-unauthenticated","2026-02-26","passed","2026-02-26","Unauthenticated @regression","single-user-tests/unauthenticated/password.spec.js","",""
"","6982","Verify validation for manual DOB input for future date in Edit Profile details @[111729] @patient @functional","single-patient","2026-02-26","passed","2026-02-26","Patient @regression","single-user-tests/patient/patient-edit-profile.spec.js","",""
"","7662","[Negative] Verify the validation of the First name field on Before we get started page @[112507] @provider @functional","single-provider","2026-02-26","passed","2026-02-26","Provider - English @regression","single-user-tests/provider/create-account-onboard-provider.spec.js","",""
"","5202","Verify Language Setting Persists Across Reload @[115023] @device @functional","single-unauthenticated","2026-02-26","passed","2026-02-26","Device_ID @regression","single-user-tests/unauthenticated/device-id-access.spec.js","",""
"","10433","Verify Default Avatar Displays First Letter of Device ID Name When No Photo Is Uploaded @[115335] @device @functional","single-device","2026-02-26","passed","2026-02-26","Device_ID @regression","single-user-tests/device/device-id-my-account-and-edit.spec.js","",""
"","9545","setup super admin authentication","auth-super-admin","2026-02-26","passed","2026-02-26","Super Admin Authentication Setup @super-admin","setup/auth-super-admin.js","",""
"","1","Verify ""Register as Patient"" onboarding flow Account Creation from Login Page @[122336] @unauthenticated @functional @email","single-unauthenticated","2026-02-26","skipped","2026-02-26","Unauthenticated @regression","single-user-tests/unauthenticated/login.spec.js","",""
"","5320","[Negative] Verify Large Image Upload for Avatar @[112291] @provider @functional","single-provider","2026-02-26","passed","2026-02-26","Provider @regression","single-user-tests/provider/provider-my-account.spec.js","",""
"","4755","Verify the submission button on Forgot Password Page @[111173] @unauthenticated @functional","single-unauthenticated","2026-02-26","passed","2026-02-26","Unauthenticated @regression","single-user-tests/unauthenticated/forgot-password.spec.js","",""
"","7710","Verify Delete Account Link Functionality @[111251] @patient @functional","single-patient","2026-02-26","passed","2026-02-26","Patient @regression","single-user-tests/patient/patient-my-account.spec.js","",""
"","7767","Verify the validation of the First name field on the Before we get started page @[112511] @provider @functional","single-provider","2026-02-26","passed","2026-02-26","Provider - English @regression","single-user-tests/provider/create-account-onboard-provider.spec.js","",""
"","8119","setup provider+coordinator authentication","auth-provider-coordinator","2026-02-26","passed","2026-02-26","Provider+Coordinator Authentication Setup @provider-coordinator","setup/auth-provider-coordinator.js","",""
"","0","Verify Add License Functionality on Edit License to Practice modal @[111213] @provider @functional","single-provider","2026-02-26","skipped","2026-02-26","Provider @regression","single-user-tests/provider/provider-edit-license-to-practice.spec.js","",""
"","7115","Verify Profile Details slide out in Edit Profile details @[111390] @provider @ui","single-provider","2026-02-26","passed","2026-02-26","Provider @regression","single-user-tests/provider/provider-my-account.spec.js","",""
"","0","Verify the ""Decline"" button functionality on the EULA page @[112501] @provider @functional","single-provider","2026-02-26","skipped","2026-02-26","Provider - English @regression","single-user-tests/provider/create-account-onboard-provider.spec.js","",""
"","0","Verify ""Yes, Delete"" Button Functionality on Delete Account Screen @[111229]","single-provider","2026-02-26","skipped","2026-02-26","Provider @regression","single-user-tests/provider/provider-my-account.spec.js","",""
"","1753","Verify Email Empty Field Error @[117362] @unauthenticated @functional","single-unauthenticated","2026-02-26","passed","2026-02-26","Unauthenticated @regression","single-user-tests/unauthenticated/login.spec.js","",""
"","12902","Verify state persistence after page reload @[111280] @provider @functional","single-provider","2026-02-26","passed","2026-02-26","Provider @regression","single-user-tests/provider/manage-notifications.spec.js","",""
